Consulta,M‚dia do Tempo Acumulado (segundos),Media do Tempo Absoluto (s),Media Tempo Absoluto (minutos)
1,"2.147,93","138,59","2,31"
2,"2.145,27","138,41","2,31"
3,"1.002,43","57,55","0,96"
4,"247,00","12,93","0,21"
5,"624,00","37,32","0,62"
6,"341,48","21,37","0,35"
7,"362,16","21,02","0,35"
8,"359,68","21,85","0,36"
9,"4.375,18","269,60","4,49"
10,"359,68","21,85","0,36"
11,"75,88","4,91","0,08"
12,"599,28","34,83","0,18"
13,"2.433,88","157,14","2,62"
14,"521,64","31,47","0,18"
15,"717,24","46,29","0,15"
16,"89,39","5,78","0,10"
17,"180,83","11,87","0,14"
18,"550,82","33,10","0,55"
19,"66,86","3,85","0,07"
20,"201,54","11,12","0,19"
21,"1.257,41","78,84","1,31"
22,"37,01","2,16","0,03"
